2024-12-18 13:05:20,853 INFO    StreamThr :57323 [internal.py:wandb_internal():85] W&B internal server running at pid: 57323, started at: 2024-12-18 13:05:20.853121
2024-12-18 13:05:20,854 DEBUG   HandlerThread:57323 [handler.py:handle_request():158] handle_request: status
2024-12-18 13:05:20,857 INFO    WriterThread:57323 [datastore.py:open_for_write():87] open: /home/hous/Desktop/Kidney_Segmentation/wandb/run-20241218_130520-ps87ogow/run-ps87ogow.wandb
2024-12-18 13:05:20,858 DEBUG   SenderThread:57323 [sender.py:send():391] send: header
2024-12-18 13:05:20,858 DEBUG   SenderThread:57323 [sender.py:send():391] send: run
2024-12-18 13:05:21,456 INFO    SenderThread:57323 [dir_watcher.py:__init__():211] watching files in: /home/hous/Desktop/Kidney_Segmentation/wandb/run-20241218_130520-ps87ogow/files
2024-12-18 13:05:21,456 INFO    SenderThread:57323 [sender.py:_start_run_threads():1200] run started: ps87ogow with start time 1734523520.853148
2024-12-18 13:05:21,462 DEBUG   HandlerThread:57323 [handler.py:handle_request():158] handle_request: check_version
2024-12-18 13:05:21,462 DEBUG   SenderThread:57323 [sender.py:send_request():418] send_request: check_version
2024-12-18 13:05:21,634 DEBUG   HandlerThread:57323 [handler.py:handle_request():158] handle_request: run_start
2024-12-18 13:05:21,640 DEBUG   HandlerThread:57323 [system_info.py:__init__():26] System info init
2024-12-18 13:05:21,640 DEBUG   HandlerThread:57323 [system_info.py:__init__():41] System info init done
2024-12-18 13:05:21,640 INFO    HandlerThread:57323 [system_monitor.py:start():194] Starting system monitor
2024-12-18 13:05:21,640 INFO    SystemMonitor:57323 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-12-18 13:05:21,640 INFO    HandlerThread:57323 [system_monitor.py:probe():214] Collecting system info
2024-12-18 13:05:21,640 INFO    SystemMonitor:57323 [interfaces.py:start():188] Started cpu monitoring
2024-12-18 13:05:21,641 INFO    SystemMonitor:57323 [interfaces.py:start():188] Started disk monitoring
2024-12-18 13:05:21,642 INFO    SystemMonitor:57323 [interfaces.py:start():188] Started gpu monitoring
2024-12-18 13:05:21,642 INFO    SystemMonitor:57323 [interfaces.py:start():188] Started memory monitoring
2024-12-18 13:05:21,642 INFO    SystemMonitor:57323 [interfaces.py:start():188] Started network monitoring
2024-12-18 13:05:21,655 DEBUG   HandlerThread:57323 [system_info.py:probe():152] Probing system
2024-12-18 13:05:21,657 DEBUG   HandlerThread:57323 [system_info.py:_probe_git():137] Probing git
2024-12-18 13:05:21,662 DEBUG   HandlerThread:57323 [system_info.py:_probe_git():145] Probing git done
2024-12-18 13:05:21,662 DEBUG   HandlerThread:57323 [system_info.py:probe():200] Probing system done
